System,Version,Year,Tau,P_Value,CI_Lower,CI_Upper,Spearman_Rho,System_Total,Acoustics_pts,Thermal_pts,Lighting_pts,Air_pts,Acoustics_pct,Thermal_pct,Lighting_pct,Air_pct,Acoustics_gap,Thermal_gap,Lighting_gap,Air_gap
BREEAM,Intl v6,2019,-0.18257418583505539,0.7179816667337766,-1.0,1.0,-0.316227766016838,110,4.0,3.0,3.0,5.0,3.6363636363636362,2.727272727272727,2.727272727272727,4.545454545454546,-50.36363636363637,-36.27272727272727,-23.272727272727273,-15.454545454545453
BREEAM,USA In-Use v6,2021,-0.18257418583505539,0.7179816667337766,-1.0,1.0,-0.316227766016838,110,4.0,3.0,3.0,5.0,3.6363636363636362,2.727272727272727,2.727272727272727,4.545454545454546,-50.36363636363637,-36.27272727272727,-23.272727272727273,-15.454545454545453
BREEAM,Intl v7,2023,-0.18257418583505539,0.7179816667337766,-1.0,1.0,-0.316227766016838,110,4.0,3.0,3.0,7.0,3.6363636363636362,2.727272727272727,2.727272727272727,6.363636363636363,-50.36363636363637,-36.27272727272727,-23.272727272727273,-13.636363636363637
BREEAM,USA Residential Plus,2025,-0.18257418583505539,0.7179816667337766,-1.0,1.0,-0.316227766016838,100,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,-50.0,-36.0,-23.0,-15.0
Fitwel,v3 CI,2026,-0.6666666666666669,0.3333333333333333,-1.0,1.0,-0.7999999999999999,104,1.26,1.68,7.28,5.23,1.2115384615384615,1.6153846153846154,7.0,5.028846153846154,-52.78846153846154,-37.38461538461539,-19.0,-14.971153846153847
Fitwel,v3 MTWB,2026,-0.3333333333333334,0.75,-1.0,1.0,-0.6000000000000001,110,2.94,1.47,5.51,4.59,2.672727272727273,1.3363636363636364,5.009090909090909,4.172727272727273,-51.32727272727273,-37.663636363636364,-20.990909090909092,-15.827272727272728
Fitwel,v3 MFR,2026,-0.6666666666666669,0.3333333333333333,-1.0,1.0,-0.7999999999999999,120,3.85,1.4,7.0,7.7,3.2083333333333335,1.1666666666666667,5.833333333333333,6.416666666666667,-50.791666666666664,-37.833333333333336,-20.166666666666668,-13.583333333333332
LEED,2009,2009,-0.912870929175277,0.07095149242730564,-1.0,-0.7745966692414834,-0.9486832980505139,110,0.0,3.0,3.0,9.0,0.0,2.727272727272727,2.727272727272727,8.181818181818182,-54.0,-36.27272727272727,-23.272727272727273,-11.818181818181818
LEED,v4,2013,-0.912870929175277,0.07095149242730564,-1.0,-0.7745966692414834,-0.9486832980505139,110,1.0,1.0,6.0,8.0,0.9090909090909091,0.9090909090909091,5.454545454545454,7.2727272727272725,-53.09090909090909,-38.09090909090909,-20.545454545454547,-12.727272727272727
LEED,v4.1,2019,-0.912870929175277,0.07095149242730564,-1.0,-0.7745966692414834,-0.9486832980505139,110,1.0,1.0,6.0,8.0,0.9090909090909091,0.9090909090909091,5.454545454545454,7.2727272727272725,-53.09090909090909,-38.09090909090909,-20.545454545454547,-12.727272727272727
LEED,v5,2025,-1.0,0.08333333333333333,-1.0,-1.0,-1.0,110,1.0,2.0,4.0,10.0,0.9090909090909091,1.8181818181818181,3.6363636363636362,9.090909090909092,-53.09090909090909,-37.18181818181818,-22.363636363636363,-10.909090909090908
WELL,v1,2014,-1.0,0.08333333333333333,-1.0,-1.0,-1.0,100,7.0,8.0,10.0,12.0,7.0,8.0,10.0,12.0,-47.0,-31.0,-16.0,-8.0
WELL,v2,2018,-0.3333333333333334,0.75,-1.0,1.0,-0.39999999999999997,120,17.0,12.0,14.0,28.0,14.166666666666666,10.0,11.666666666666666,23.333333333333332,-39.833333333333336,-29.0,-14.333333333333334,3.333333333333332
